Gymnasieprogram_kod,Gymnasieprogram,Gymnasieprogramstyp
HVTEX0L0I,"Hantverksprogrammet; Textil design, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
HVTEX0L0N,"Hantverksprogrammet; Textil design, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
HVTIM,"Hantverksprogrammet, Övriga hantverk, timmerman",Yrkesprogram
HVTIM000I,Hantverksprogrammet; Övriga hantverk; timmerman (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
HVTIM000N,Hantverksprogrammet; Övriga hantverk; timmerman (Nationellt godkänd idrottsutbildning),Yrkesprogram
HVTIM0A,"Hantverksprogrammet; Övriga hantverk; timmerman, anställd lärling",Yrkesprogram
HVTIM0A0I,"Hantverksprogrammet; Övriga hantverk; timmerman, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
HVTIM0A0N,"Hantverksprogrammet; Övriga hantverk; timmerman, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
HVTIM0L,"Hantverksprogrammet, Övriga hantverk, timmerman, lärling",Yrkesprogram
HVTIM0L0I,"Hantverksprogrammet; Övriga hantverk; timmerman, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
HVTIM0L0N,"Hantverksprogrammet; Övriga hantverk; timmerman, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
HVURM,"Hantverksprogrammet, Övriga hantverk, urmakare",Yrkesprogram
HVURM000I,Hantverksprogrammet; Övriga hantverk; urmakare (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
HVURM000N,Hantverksprogrammet; Övriga hantverk; urmakare (Nationellt godkänd idrottsutbildning),Yrkesprogram
HVURM00R,"Hantverksprogrammet, Övriga hantverk, urmakare (riksrekrytering)",Yrkesprogram
HVURM00RI,Hantverksprogrammet; Övriga hantverk; urmakare (riksrekrytering) (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
HVURM00RN,Hantverksprogrammet; Övriga hantverk; urmakare (riksrekrytering) (Nationellt godkänd idrottsutbildning),Yrkesprogram
HVURM0A,"Hantverksprogrammet; Övriga hantverk; urmakare, anställd lärling",Yrkesprogram
HVURM0A0I,"Hantverksprogrammet; Övriga hantverk; urmakare, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
HVURM0A0N,"Hantverksprogrammet; Övriga hantverk; urmakare, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
HVURM0AR,"Hantverksprogrammet; Övriga hantverk; urmakare, anställd lärling (riksrekrytering)",Yrkesprogram
HVURM0ARI,"Hantverksprogrammet; Övriga hantverk; urmakare, anställd lärling (riksrekrytering) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
HVURM0ARN,"Hantverksprogrammet; Övriga hantverk; urmakare, anställd lärling (riksrekrytering) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
HVURM0L,"Hantverksprogrammet, Övriga hantverk, urmakare, lärling",Yrkesprogram
HVURM0L0I,"Hantverksprogrammet; Övriga hantverk; urmakare, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
HVURM0L0N,"Hantverksprogrammet; Övriga hantverk; urmakare, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
HVURM0LR,"Hantverksprogrammet, Övriga hantverk, urmakare, lärling (riksrekrytering)",Yrkesprogram
HVURM0LRI,"Hantverksprogrammet; Övriga hantverk; urmakare, lärling (riksrekrytering) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
HVURM0LRN,"Hantverksprogrammet; Övriga hantverk; urmakare, lärling (riksrekrytering) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
IB,International Baccaleurate,International Baccaleurate
IB000000I,International Baccaleurate (Idrottsutbildning vid riksidrottsgymnasium),International Baccaleurate
IB000000N,International Baccaleurate (Nationellt godkänd idrottsutbildning),International Baccaleurate
IMA,Introduktionsprogram; Individuellt alternativ (gäller fr o m 2018-07-01),Introduktionsprogram
IMA000L,"Introduktionsprogram; Individuellt alternativ, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMIND,"Introduktionsprogram, Individuellt alternativ",Introduktionsprogram
IMP,Introduktionsprogram; Preparandutbildning,Introduktionsprogram
IMPRE,"Introduktionsprogram, Preparandutbildning",Introduktionsprogram
IMPRO,Introduktionsprogram; Programinriktat individuellt val,Introduktionsprogram
IMPROBA,"Introduktionsprogram, Programinriktat individuellt val, mot Bygg- och anläggningsprogrammet",Introduktionsprogram
IMPROBF,"Introduktionsprogram, Programinriktat individuellt val, mot Barn- och fritidsprogrammet",Introduktionsprogram
IMPROEE,"Introduktionsprogram, Programinriktat individuellt val, mot El och energiprogrammet",Introduktionsprogram
IMPROFT,"Introduktionsprogram, Programinriktat individuellt val, mot Fordons- och transportprogrammet",Introduktionsprogram
IMPROHA,"Introduktionsprogram, Programinriktat individuellt val, mot Handels- och administrationsprogrammet",Introduktionsprogram
IMPROHT,"Introduktionsprogram, Programinriktat individuellt val, mot Hotell- och turismprogrammet",Introduktionsprogram
IMPROHV,"Introduktionsprogram, Programinriktat individuellt val, mot Hantverksprogrammet",Introduktionsprogram
IMPROIN,"Introduktionsprogram, Programinriktat individuellt val, mot Industritekniska programmet",Introduktionsprogram
IMPRONB,"Introduktionsprogram, Programinriktat individuellt val, mot Naturbruksprogrammet",Introduktionsprogram
IMPRORL,"Introduktionsprogram, Programinriktat individuellt val, mot Restaurang- och livsmedelsprogrammet",Introduktionsprogram
IMPROVF,"Introduktionsprogram, Programinriktat individuellt val, mot VVS- och fastighetsprogrammet",Introduktionsprogram
IMPROVO,"Introduktionsprogram, Programinriktat individuellt val, mot Vård- och omsorgsprogrammet",Introduktionsprogram
IMR,Introduktionsprogram; Programinriktat individuellt val,Introduktionsprogram
IMR000L,"Introduktionsprogram; Programinriktat individuellt val, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMRBA,Introduktionsprogram; Programinriktat individuellt val; mot Bygg- och anläggningsprogrammet (gäller fr o m 2018-07-01),Introduktionsprogram
IMRBA0L,"Introduktionsprogram; Programinriktat individuellt val; mot Bygg- och anläggningsprogrammet, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMRBF,Introduktionsprogram; Programinriktat individuellt val; mot Barn- och fritidsprogrammet (gäller fr o m 2018-07-01),Introduktionsprogram
IMRBF0L,"Introduktionsprogram; Programinriktat individuellt val; mot Barn- och fritidsprogrammet, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMREE,Introduktionsprogram; Programinriktat individuellt val; mot El och energiprogrammet (gäller fr o m 2018-07-01),Introduktionsprogram
IMREE0L,"Introduktionsprogram; Programinriktat individuellt val; mot El och energiprogrammet, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMRFT,Introduktionsprogram; Programinriktat individuellt val; mot Fordons- och transportprogrammet (gäller fr o m 2018-07-01),Introduktionsprogram
IMRFT0L,"Introduktionsprogram; Programinriktat individuellt val; mot Fordons- och transportprogrammet, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMRHA,Introduktionsprogram; Programinriktat individuellt val; mot Handels- och administrationsprogrammet (gäller fr o m 2018-07-01),Introduktionsprogram
IMRHA0L,"Introduktionsprogram; Programinriktat individuellt val; mot Handels- och administrationsprogrammet, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMRHT,Introduktionsprogram; Programinriktat individuellt val; mot Hotell- och turismprogrammet (gäller fr o m 2018-07-01),Introduktionsprogram
IMRHT0L,"Introduktionsprogram; Programinriktat individuellt val; mot Hotell- och turismprogrammet, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMRHV,Introduktionsprogram; Programinriktat individuellt val; mot Hantverksprogrammet (gäller fr o m 2018-07-01),Introduktionsprogram
IMRHV0L,"Introduktionsprogram; Programinriktat individuellt val; mot Hantverksprogrammet, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMRIN,Introduktionsprogram; Programinriktat individuellt val; mot Industritekniska programmet (gäller fr o m 2018-07-01),Introduktionsprogram
IMRIN0L,"Introduktionsprogram; Programinriktat individuellt val; mot Industritekniska programmet, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMRNB,Introduktionsprogram; Programinriktat individuellt val; mot Naturbruksprogrammet (gäller fr o m 2018-07-01),Introduktionsprogram
IMRNB0L,"Introduktionsprogram; Programinriktat individuellt val; mot Naturbruksprogrammet, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMRRL,Introduktionsprogram; Programinriktat individuellt val; mot Restaurang- och livsmedelsprogrammet (gäller fr o m 2018-07-01),Introduktionsprogram
IMRRL0L,"Introduktionsprogram; Programinriktat individuellt val; mot Restaurang- och livsmedelsprogrammet, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMRVF,Introduktionsprogram; Programinriktat individuellt val; mot VVS- och fastighetsprogrammet (gäller fr o m 2018-07-01),Introduktionsprogram
IMRVF0L,"Introduktionsprogram; Programinriktat individuellt val; mot VVS- och fastighetsprogrammet, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMRVO,Introduktionsprogram; Programinriktat individuellt val; mot Vård- och omsorgsprogrammet (gäller fr o m 2018-07-01),Introduktionsprogram
IMRVO0L,"Introduktionsprogram; Programinriktat individuellt val; mot Vård- och omsorgsprogrammet, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMS,Introduktionsprogram; Språkintroduktion (gäller fr o m 2018-07-01),Introduktionsprogram
IMSPR,"Introduktionsprogram, Språkintroduktion",Introduktionsprogram
IMV,Introduktionsprogram; Programinriktat val (gäller fr o m 2019-07-01),Introduktionsprogram
IMV000L,"Introduktionsprogram; Programinriktat val, lärlingsliknande utbildning (gäller fr o m 2019-07-01)",Introduktionsprogram
IMVBA,Introduktionsprogram; Programinriktat val; mot Bygg- och anläggningsprogrammet (gäller fr o m 2019-07-01),Introduktionsprogram
IMVBA0L,"Introduktionsprogram; Programinriktat val; mot Bygg- och anläggningsprogrammet, lärlingsliknande utbildning (gäller fr o m 2019-07-01)",Introduktionsprogram
IMVBF,Introduktionsprogram; Programinriktat val; mot Barn- och fritidsprogrammet (gäller fr o m 2019-07-01),Introduktionsprogram
IMVBF0L,"Introduktionsprogram; Programinriktat val; mot Barn- och fritidsprogrammet, lärlingsliknande utbildning (gäller fr o m 2019-07-01)",Introduktionsprogram
IMVEE,Introduktionsprogram; Programinriktat val; mot El- och energiprogrammet (gäller fr o m 2019-07-01),Introduktionsprogram
IMVEE0L,"Introduktionsprogram; Programinriktat val; mot El- och energiprogrammet, lärlingsliknande utbildning (gäller fr o m 2019-07-01)",Introduktionsprogram
